time setpoint speed position
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:44 0.00 0.00 1.54
10:32:45 0.00 0.00 1.54
10:32:45 0.00 0.00 1.54
10:32:45 0.00 0.00 1.54
10:32:45 0.00 0.00 1.54
10:32:45 0.00 0.00 1.54
10:32:45 0.00 0.00 1.54
10:32:45 0.00 0.00 1.54
10:32:45 0.00 0.00 1.54
10:32:45 0.00 0.00 1.54
10:32:45 0.00 0.00 1.54
10:32:45 0.00 0.00 1.54
10:32:45 0.00 0.00 1.54
10:32:45 0.00 0.00 1.54
10:32:45 0.02 0.00 1.54
10:32:45 0.02 0.00 1.54
10:32:45 0.02 0.00 1.54
10:32:45 0.04 0.00 1.54
10:32:45 0.04 0.00 1.54
10:32:45 0.04 0.00 1.54
10:32:45 0.07 0.00 1.54
10:32:45 0.07 0.00 1.54
10:32:45 0.07 0.00 1.54
10:32:45 0.09 0.00 1.54
10:32:45 0.09 0.00 1.54
10:32:45 0.09 0.00 1.54
10:32:45 0.11 0.00 1.54
10:32:45 0.11 0.00 1.54
10:32:45 0.11 0.00 1.54
10:32:45 0.13 0.00 1.54
10:32:45 0.13 0.00 1.54
10:32:45 0.13 0.00 1.54
10:32:45 0.15 0.00 1.54
10:32:45 0.15 0.00 1.54
10:32:45 0.15 0.00 1.54
10:32:45 0.15 0.00 1.54
10:32:45 0.18 0.00 1.54
10:32:45 0.18 0.00 1.54
10:32:45 0.18 0.00 1.54
10:32:45 0.20 0.00 1.54
10:32:45 0.20 0.00 1.54
10:32:45 0.20 0.00 1.54
10:32:45 0.22 0.00 1.54
10:32:45 0.22 0.00 1.54
10:32:45 0.22 0.00 1.54
10:32:45 0.24 0.00 1.54
10:32:45 0.24 0.00 1.54
10:32:45 0.24 0.00 1.54
10:32:45 0.26 0.00 1.54
10:32:45 0.26 0.00 1.54
10:32:45 0.26 0.00 1.54
10:32:46 0.29 0.00 1.54
10:32:46 0.29 0.00 1.54
10:32:46 0.29 0.00 1.54
10:32:46 0.31 0.00 1.54
10:32:46 0.31 0.00 1.54
10:32:46 0.31 0.00 1.54
10:32:46 0.33 0.00 1.54
10:32:46 0.33 0.00 1.54
10:32:46 0.33 0.00 1.54
10:32:46 0.33 0.00 1.54
10:32:46 0.35 0.00 1.54
10:32:46 0.35 0.00 1.54
10:32:46 0.35 0.00 1.54
10:32:46 0.37 0.00 1.54
10:32:46 0.37 0.00 1.54
10:32:46 0.37 0.00 1.54
10:32:46 0.40 0.00 1.54
10:32:46 0.40 0.00 1.54
10:32:46 0.40 0.00 1.54
10:32:46 0.42 0.00 1.54
10:32:46 0.42 0.00 1.54
10:32:46 0.42 0.00 1.54
10:32:46 0.44 0.00 1.54
10:32:46 0.44 0.00 1.54
10:32:46 0.44 0.00 1.54
10:32:46 0.46 0.00 1.54
10:32:46 0.46 0.00 1.54
10:32:46 0.46 0.00 1.54
10:32:46 0.48 0.00 1.54
10:32:46 0.48 0.00 1.54
10:32:46 0.48 0.00 1.54
10:32:46 0.51 0.00 1.54
10:32:46 0.51 0.00 1.54
10:32:46 0.51 0.00 1.54
10:32:46 0.53 0.00 1.54
10:32:46 0.53 0.00 1.54
10:32:46 0.53 0.00 1.54
10:32:46 0.53 0.00 1.54
10:32:46 0.55 0.00 1.54
10:32:46 0.55 0.00 1.54
10:32:46 0.55 0.00 1.54
10:32:46 0.57 0.00 1.54
10:32:46 0.57 0.00 1.54
10:32:46 0.57 0.00 1.54
10:32:46 0.59 0.00 1.54
10:32:46 0.59 0.00 1.54
10:32:46 0.59 0.00 1.54
10:32:46 0.62 0.00 1.54
10:32:46 0.62 0.00 1.54
10:32:46 0.62 0.00 1.54
10:32:47 0.64 0.00 1.54
10:32:47 0.64 0.00 1.54
10:32:47 0.64 0.00 1.54
10:32:47 0.66 0.00 1.54
10:32:47 0.66 0.00 1.54
10:32:47 0.66 0.00 1.54
10:32:47 0.68 0.00 1.54
10:32:47 0.68 0.00 1.54
10:32:47 0.68 0.00 1.54
10:32:47 0.70 0.00 1.54
10:32:47 0.70 0.00 1.54
10:32:47 0.70 0.00 1.54
10:32:47 0.73 0.00 1.54
10:32:47 0.73 0.00 1.54
10:32:47 0.73 0.00 1.54
10:32:47 0.73 0.00 1.54
10:32:47 0.75 0.00 1.54
10:32:47 0.75 0.00 1.54
10:32:47 0.75 0.00 1.54
10:32:47 0.77 0.00 1.54
10:32:47 0.77 0.00 1.54
10:32:47 0.77 0.00 1.54
10:32:47 0.79 0.00 1.54
10:32:47 0.79 0.00 1.54
10:32:47 0.79 0.00 1.54
10:32:47 0.81 0.00 1.54
10:32:47 0.81 0.00 1.54
10:32:47 0.81 0.00 1.54
10:32:47 0.84 0.00 1.54
10:32:47 0.84 0.00 1.54
10:32:47 0.84 0.00 1.54
10:32:47 0.86 0.00 1.54
10:32:47 0.86 0.00 1.54
10:32:47 0.86 0.00 1.54
