time setpoint speed position
10:33:43 88.00 68.24 -81.54
10:33:43 88.00 68.99 -72.69
10:33:44 88.00 70.55 -63.46
10:33:44 88.00 72.65 -53.46
10:33:44 92.00 76.18 -43.46
10:33:44 92.00 78.54 -33.08
10:33:44 92.00 81.18 -23.08
10:33:44 96.00 81.89 -12.69
10:33:44 96.00 83.42 -2.69
10:33:44 96.00 83.39 8.08
10:33:44 100.00 85.49 18.46
10:33:44 100.00 85.84 29.23
10:33:44 100.00 87.13 39.62
10:33:44 104.00 86.93 50.00
10:33:44 104.00 86.80 60.77
10:33:44 104.00 87.77 71.92
10:33:44 108.00 89.48 83.08
10:33:44 108.00 90.63 95.00
10:33:44 108.00 93.51 107.31
10:33:44 112.00 96.50 119.62
10:33:44 112.00 98.50 131.92
10:33:44 112.00 99.84 144.62
10:33:44 116.00 101.80 156.92
10:33:44 116.00 102.05 169.62
10:33:44 116.00 103.28 -178.08
10:33:44 120.00 103.04 -165.38
10:33:44 120.00 103.94 -153.08
10:33:44 120.00 103.49 -140.77
10:33:44 124.00 103.18 -127.69
10:33:44 124.00 105.09 -114.23
10:33:44 124.00 107.43 -100.00
10:33:44 124.00 111.11 -85.77
10:33:44 128.00 113.58 -71.54
10:33:44 128.00 115.23 -57.31
10:33:44 128.00 116.34 -43.08
10:33:44 132.00 117.08 -28.85
10:33:44 132.00 117.58 -14.62
10:33:44 132.00 117.91 -0.38
10:33:44 136.00 118.14 14.23
10:33:44 136.00 119.34 28.85
10:33:44 136.00 120.15 44.23
10:33:44 140.00 122.81 59.62
10:33:44 140.00 124.59 75.38
10:33:44 140.00 126.84 91.15
10:33:44 144.00 128.35 107.31
10:33:44 144.00 130.42 123.08
10:33:44 144.00 130.74 138.85
10:33:44 148.00 130.96 154.62
10:33:44 148.00 131.11 170.00
10:33:44 148.00 130.15 -173.46
10:33:44 152.00 132.68 -156.92
10:33:44 152.00 134.38 -139.62
10:33:45 152.00 137.63 -122.31
10:33:45 152.00 139.81 -104.62
10:33:45 156.00 142.33 -87.31
10:33:45 156.00 142.95 -70.00
10:33:45 156.00 143.38 -53.08
10:33:45 160.00 142.60 -35.77
10:33:45 160.00 143.14 -18.08
10:33:45 160.00 144.56 -0.00
10:33:45 164.00 146.56 18.46
10:33:45 164.00 148.97 37.31
10:33:45 164.00 151.64 56.15
10:33:45 168.00 153.42 75.00
10:33:45 168.00 154.62 93.46
10:33:45 168.00 154.36 111.92
10:33:45 172.00 154.19 130.77
10:33:45 172.00 155.14 150.00
10:33:45 176.00 159.02 -170.77
10:33:45 176.00 160.48 -150.77
10:33:45 176.00 162.52 -131.15
10:33:45 180.00 162.83 -111.15
10:33:45 180.00 164.10 -91.54
10:33:45 180.00 163.89 -71.54
10:33:45 180.00 164.81 -50.77
